COMPANY,CIK,SIC
DYNABAZAAR INC,1053676,7389
DYNACQ HEALTHCARE INC,890908,8011
DYNADAPT SYSTEM INC,1066551,9995
DYNAMEX INC,1015483,4210
Dynamic Gold Inc.,1304730,1000
DYNAMIC HEALTH PRODUCTS INC,949925,5961
DYNAMIC LEISURE CORP,934873,4700
DYNAMIC MATERIALS CORP,34067,3390
DYNAMICS RESEARCH CORP,30822,7373
DYNAMOTIVE ENERGY SYSTEMS CORP,941625,4991
DYNASIL CORP OF AMERICA,30831,3220
DYNATEM INC,795424,3571
DYNATRONICS CORP,720875,3845
DYNAVAX TECHNOLOGIES CORP,1029142,2834
DYNEGY HOLDINGS INC,1105055,4911
DYNEGY INC /IL/,879215,4911
DYNEX CAPITAL INC,826675,6798
DYNTEK INC,879465,7389
E & S HOLDINGS INC,1161135,3420
E CENTIVES INC,1092283,7389
E COM VENTURES INC,880460,5900
E DIGITAL CORP,886328,3674
E MED FUTURE INC,894552,3841
E ON AG,1136808,4900
E PRIME AEROSPACE CORP,804152,4522
E TRADE FINANCIAL CORP,1015780,6035
EACO CORP,784539,5812
EAGLE BANCORP INC,1050441,6022
EAGLE BANCORP/MT,1101146,6021
EAGLE BROADBAND INC,1023139,3663
EAGLE EXPLORATION CO,30906,6532
EAGLE FAMILY FOODS HOLDINGS INC,1054040,2090
EAGLE FAMILY FOODS INC,1059761,2090
EAGLE FINANCIAL SERVICES INC,880641,6022
"Eagle Hospitality Properties Trust, Inc.",1289169,6798
EAGLE MATERIALS INC,918646,3241
EAGLE PICHER FAR EAST INC,1059570,3714
EAGLE PICHER FILTRATION & MINERALS INC,1059572,3714
EAGLE PICHER HOLDINGS INC,1059364,3711
EAGLE PICHER INC,30927,3714
EAGLE PICHER TECHNOLOGIES LLC,1059576,3714
EARTH BIOFUELS INC,1268471,7389
EARTH PRODUCTS & TECHNOLOGIES INC,790024,6770
EARTH SEARCH SCIENCES INC,752634,1311
"EARTHBLOCK TECHNOLOGIES, INC.",1103719,9995
EARTHFIRST TECHNOLOGIES INC,1056748,3990
EARTHLINK INC,1102541,7370
EARTHSHELL CORP,911801,2650
EARTHWORKS ENTERTAINMENT INC,820789,7011
EAST COAST DIVERSIFIED CORP,1256540,9995
EAST DELTA RESOURCES CORP.,1093933,6770
EAST KANSAS AGRI ENERGY LLC,1170106,2860
EAST PENN FINANCIAL CORP,1220483,6022
EAST WEST BANCORP INC,1069157,6022
EASTERN AMERICAN NATURAL GAS TRUST,895474,6792
EASTERN CO,31107,3420
EASTERN VIRGINIA BANKSHARES INC,1047170,6022
EASTGROUP PROPERTIES INC,49600,6798
EASTMAN CHEMICAL CO,915389,2821
EASTMAN KODAK CO,31235,3861
EASTON TECHNOLOGIES CORP,1169569,9995
EASY GARDENER PRODUCTS LTD,1210936,2870
EASYLINK SERVICES CORP,1081661,7389
EAT AT JOES LTD,829325,5810
EATON CORP,31277,3590
EATON LABORATORIES INC,1163002,6770
EATON VANCE CORP,350797,6282
EATWARE CORP,1109153,9995
"EAUTOCLAIMS, INC",1034694,7389
EBANK FINANCIAL SERVICES INC,1050725,6021
EBAY INC,1065088,7389
EBIX INC,814549,7373
EBS LITIGATION LLC,1066463,9995
EBS PENSION LLC,1065923,9995
"ECASH, INC",1083638,1700
ECB BANCORP INC,1066254,6022
ECC Capital CORP,1300317,6798
ECHELON CORP,31347,3576
ECHO RESOURCES INC.,1084899,1000
ECHOSTAR COMMUNICATIONS CORP,1001082,4841
ECHOSTAR DBS CORP,1042642,4899
ECI TELECOM LTD/,701544,3661
ECLIPSYS CORP,1034088,7373
ECOLAB INC,31462,2840
ECOLLEGE COM,1085653,8200
ECOLOCLEAN INDUSTRIES INC,1161165,3730
ECOLOGY & ENVIRONMENT INC,809933,8711
ECOM ECOM COM INC,1000459,7372
ECTEL LTD,1096197,3661
EDAC TECHNOLOGIES CORP,772572,3724
EDAP TMS SA,1041934,3845
EDD HELMS GROUP INC,854883,4822
EDEN BIOSCIENCE CORP,930095,2870
EDEN ENERGY CORP,1083866,1221
"EDENTIFY, INC.",1091938,7372
EDGAR FILINGNET INC,1091406,7389
EDGAR ONLINE INC,1080224,7389
EDGE PETROLEUM CORP,1021010,1311
EDGETECH SERVICES INC,1088211,7389
"EDGEWATER FOODS INTERNATIONAL, INC.",1231339,900
EDGEWATER TECHNOLOGY INC/DE/,1017968,7370
EDIETS COM INC,1094058,7200
EDISON INTERNATIONAL,827052,4911
EDISON MISSION ENERGY,930835,4991
EDO CORP,31617,3812
EDP ENERGIAS DE PORTUGAL SA,1039610,4911
EDUCATE INC,1286862,8200
"Education Realty Trust, Inc.",1302343,6798
EDUCATIONAL DEVELOPMENT CORP,31667,5190
EDWARDS A G INC,718482,6211
EDWARDS LIFESCIENCES CORP,1099800,3842
"EESTech, Inc.",1138867,4941
"EFFECTIVE PROFITABLE SOFTWARE, INC.",1271075,9995
EFJ INC,1023516,3663
EFOODSAFETY COM INC,1157075,2870
EFUNDS CORP,1109190,7389
EGAIN COMMUNICATIONS CORP,1066194,7372
EGAMES INC,948703,7372
"eGENE, INC.",1105409,2834
EGL INC,1001718,4731
"EGPI FIRECREEK, INC.",1106848,1382
EIGER TECHNOLOGY INC,1040702,3661
EIRCOM GROUP PLC,1267841,4813
EIRCOM LTD,1088652,4813
EKSPORTFINANS ASA,700978,6159
EL CAPITAN PRECIOUS METALS INC,1135202,1000
EL NINO VENTURES INC,1136861,1040
EL PASO CGP CO LLC,21267,4922
EL PASO CORP/DE,1066107,4922
EL PASO ELECTRIC CO /TX/,31978,4911
EL PASO EXPLORATION & PRODUCTION CO,1239454,1311
EL PASO NATURAL GAS CO,31986,4922
"El Pollo Loco, Inc.",1289729,5812
ELAN CORP PLC,737572,2834
ELBIT MEDICAL IMAGING LTD,1027662,6512
ELBIT SYSTEMS LTD,1027664,3728
ELBIT VISION SYSTEMS LTD,1011664,3823
ELCOM INTERNATIONAL INC,900096,7371
ElderTrust Operating Limited Partnership,1174175,6798
ELDORADO ARTESIAN SPRINGS INC,796124,5140
ELDORADO GOLD CORP                                      /FI,918608,1040
ELEC COMMUNICATIONS CORP,90721,4813
ELECSYS CORP,914398,3679
ELECTRIC & GAS TECHNOLOGY INC,785819,3825
ELECTRIC AQUAGENICS UNLIMITED INC,1170816,2842
ELECTRIC CITY CORP,1065860,3600
ELECTRO ENERGY INC,1175636,3690
ELECTRO RENT CORP,32166,7359
ELECTRO SCIENTIFIC INDUSTRIES INC,726514,3690
ELECTRO SENSORS INC,351789,3823
ELECTROGLAS INC,902281,3559
ELECTRONIC ARTS INC,712515,7372
ELECTRONIC CLEARING HOUSE INC,721773,6099
ELECTRONIC CONTROL SECURITY INC,803044,3669
ELECTRONIC DATA SYSTEMS CORP /DE/,1007456,7370
ELECTRONIC GAME CARD INC,1083036,3990
ELECTRONIC MEDIA CENTRAL CORP,1133901,7389
"Electronic Sensor Technology, Inc",1122860,3679
ELECTRONIC SYSTEMS TECHNOLOGY INC,752294,3670
ELECTRONICS FOR IMAGING INC,867374,3576
ELEMENT 21 GOLF CO,797662,3949
ELEPHANT & CASTLE GROUP INC,899849,5812
ELEPHANT TALK COMMUNICATIONS INC,1084384,4813
ELGIN NATIONAL INDUSTRIES INC,32346,3560
"ELGRANDE INTERNATIONAL, INC.",1073362,5020
ELINE ENTERTAINMENT GROUP INC,1043150,1520
ELINEAR INC,1001903,7373
ELITE FLIGHT SOLUTIONS INC,1161723,4522
ELITE PHARMACEUTICALS INC /DE/,1053369,2834
ELIZABETH ARDEN INC,95052,2844
ELKCORP,32017,2950
"eLong, Inc.",1290903,4700
ELOYALTY CORP,1094348,8742
ELRON ELECTRONIC INDUSTRIES LTD /NY/,315126,7372
ELSEVIER NV /,929872,2741
ELTEK LTD,1024672,3672
ELVA INTERNATIONAL INC,1103718,7389
EMAGEON INC,1121439,7372
EMAGIN CORP,1046995,3674
"EMAK Worldwide, Inc.",911151,7311
EMBARCADERO TECHNOLOGIES INC,1107112,7373
EMBRATEL PARTICIPACOES SA,1066117,4813
EMBREX INC /NC/,878725,2836
EMBRYO DEVELOPMENT CORP,945439,6770
EMC CORP,790070,3572
EMC INSURANCE GROUP INC,356130,6331
EMCLAIRE FINANCIAL CORP,858800,6021
EMCOR GROUP INC,105634,1731
EMCORE CORP,808326,3674
EMDEON CORP,1009575,7374
EME HOMER CITY GENERATION LP,1099534,4991
Emerge Capital Corp.,1009802,6500
EMERGE INTERACTIVE INC,1092605,7389
EMERGENCY FILTRATION PRODUCTS INC/ NV,1088213,3842
EMERGENT GROUP INC/NY,1021097,5090
EMERGING VISION INC,1002554,5990
EMERITUS CORP\WA\,1001604,8050
EMERSON ELECTRIC CO,32604,3600
EMERSON RADIO CORP,32621,3651
EMISPHERE TECHNOLOGIES INC,805326,2834
EMMIS COMMUNICATIONS CORP,783005,4832
EMPIRE DISTRICT ELECTRIC CO,32689,4911
EMPIRE ENERGY CORP,788206,1311
EMPIRE FINANCIAL HOLDING CO,1094320,6211
EMPIRE GLOBAL CORP.,1080319,6500
EMPIRE PETROLEUM CORP,887396,9995
EMPIRE RESORTS INC,906780,5810
EMPIRE RESOURCES INC /NEW/,1019272,5051
EMPIRE STATE BUILDING ASSOCIATES,32776,6512
EMPRESA BRASILEIRA DE AERONAUTICA S.A.,1355444,3721
EMPRESA NACIONAL DE ELECTRICIDAD S A,926864,4911
"EMPYREAN HOLDINGS, INC",1076886,3357
Emrise CORP,854852,3825
EMS TECHNOLOGIES INC,32198,3663
EMTEC INC/NJ,5117,7389
EMULEX CORP /DE/,350917,3576
EN POINTE TECHNOLOGIES INC,1010305,5045
ENBRIDGE ENERGY MANAGEMENT L L C,1173911,1311
ENBRIDGE ENERGY PARTNERS LP,880285,4610
ENBRIDGE INC,895728,4610
ENCANA CORP,1157806,1311
ENCISION INC,930775,3841
ENCLAVES GROUP INC,1045260,6500
"ENCOMPASS HOLDINGS, INC.",769882,8741
ENCORE ACQUISITION CO,1125057,1311
ENCORE CAPITAL GROUP INC,1084961,6153
"ENCORE CLEAN ENERGY, INC",1036588,7389
ENCORE MEDICAL CORP,944763,3842
ENCORE WIRE CORP /DE/,850460,3350
ENCYSIVE PHARMACEUTICALS INC,887023,2834
ENDEAVOUR INTERNATIONAL CORP,1112412,1311
ENDESA SA,1046649,4911
ENDEVCO INC,355300,1311
ENDO NETWORKS INC,1120096,6163
ENDO PHARMACEUTICALS HOLDINGS INC,1100962,2834
ENDOCARE INC,1003464,3845
ENDOLOGIX INC /DE/,1013606,3841
ENDURANCE SPECIALTY HOLDINGS LTD,1179755,6331
ENDWAVE CORP,1118941,3663
ENEL SOCIETA PER AZIONI,1096200,4911
ENER1 INC,895642,3690
ENERGAS RESOURCES INC,1029402,1382
ENERGEN CORP,277595,4924
"ENERGENX, INC.",1289047,6770
ENERGIZER HOLDINGS INC,1096752,3690
ENERGROUP TECHNOLOGIES CORP,766659,6770
ENERGY & ENGINE TECHNOLOGY CORP,1121811,4581
ENERGY CO OF MINAS GERAIS,1157557,4911
ENERGY CO OF PARANA,1041792,4911
ENERGY CONVERSION DEVICES INC,32878,3690
ENERGY EAST CORP,1046861,4911
ENERGY EXPLORATION TECHNOLOGIES /,1009922,1311
ENERGY PARTNERS LTD,750199,1311
"Energy Transfer Partners, L.P.",1012569,4922
ENERGY WEST INC,43350,4924
ENERGYSOUTH INC,1051286,4924
ENERNORTH INDUSTRIES INC,1049021,1311
ENERPLUS RESOURCES FUND,1126874,1311
ENERSIS SA,912505,4911
EnerSys,1289308,5063
ENERTECK CORP,1128353,2890
ENESCO GROUP INC,93542,5190
ENGLOBAL CORP,933738,8711
ENHANCE BIOTECH INC,1124077,2834
ENHERENT CORP,1045560,7371
ENI SPA,1002242,1311
"ENIGMA SOFTWARE GROUP, INC",799511,7372
"ENNIS, INC.",33002,2761
"eNotes Systems, Inc.",1082594,7389
ENOVA SYSTEMS INC,922237,3670
ENPATH MEDICAL INC,833140,3841
"ENPRO INDUSTRIES, INC",1164863,3050
ENSCO INTERNATIONAL INC,314808,1381
ENSTAR GROUP INC,55820,6799
ENSURGE INC,789879,7389
ENTECH ENVIRONMENTAL TECHNOLOGIES INC,1066923,3823
ENTEGRIS INC,1101302,3089
ENTERCOM COMMUNICATIONS CORP,1067837,4832
ENTERGY ARKANSAS INC,7323,4911
ENTERGY CORP /DE/,65984,4911
ENTERGY GULF STATES INC,44570,4911
ENTERGY MISSISSIPPI INC,66901,4911
ENTERGY NEW ORLEANS INC,71508,4931
ENTERPRISE BANCORP INC /MA/,1018399,6022
ENTERPRISE FINANCIAL SERVICES CORP,1025835,6022
ENTERPRISE PRODUCTS PARTNERS L P,1061219,1311
ENTERRA ENERGY TRUST,1116377,1311
"Entertainment Is Us, Inc.",1144254,7990
ENTERTAINMENT PROPERTIES TRUST,1045450,6798
ENTHEOS TECHNOLOGIES INC,1016708,7389
ENTOURAGE MINING LTD,1239672,1400
ENTRADA NETWORKS INC,1000695,3577
ENTRAVISION COMMUNICATIONS CORP,1109116,4833
ENTREE GOLD INC,1271554,1040
ENTREMED INC,895051,2836
EntreMetrix CORP,755328,9995
ENTROPIN INC,837600,2833
ENTRUST FINANCIAL SERVICES INC,1054303,6162
ENTRUST INC,1031283,7371
ENTRX CORP,13547,1700
ENUCLEUS INC,761034,7377
ENVIRO VORAXIAL TECHNOLOGY INC,1043894,3559
ENVIROKARE TECH INC,1065677,3080
ENVIRONMENTAL POWER CORP,805012,4991
ENVIRONMENTAL SOLUTIONS WORLDWIDE INC,1082278,3714
ENVIRONMENTAL TECTONICS CORP,33113,3690
ENVOY COMMUNICATIONS GROUP INC,1031516,7380
ENXNET INC,1083706,7372
ENZO BIOCHEM INC,316253,8071
ENZON PHARMACEUTICALS INC,727510,2836
EOG RESOURCES INC,821189,1311
EON COMMUNICATIONS CORP,1084752,4813
EOP OPERATING LTD PARTNERSHIP,1043866,6798
EP GLOBAL COMMUNICATIONS INC,1113947,4512
EP MEDSYSTEMS INC,1012394,3841
EPCOS AG,1095409,3670
Epic Bancorp,1099980,6022
"EPIC CAPITAL GROUP, INC.",1122101,6162
EPIC FINANCIAL CORP,1144892,7389
EPICOR SOFTWARE CORP,891178,7372
EPICUS COMMUNICATIONS GROUP INC,800401,4813
EPIQ SYSTEMS INC,1027207,7371
"EPIX Pharmaceuticals, Inc.",1027702,2835
EPIXTAR CORP,1099730,7374
"EPL Intermediate, Inc.",1289728,5812
EPLUS INC,1022408,6172
EPOCH HOLDING CORP,351903,6282
EPOD International Inc,1079990,1382
EPOLIN INC /NJ/,797079,2821
EQUALITY INVESTMENTS INC,1101911,6770
EQUANT NV,1064531,7380
EQUICAP FINANCIAL CORP,1172945,7370
EQUICAP INC,1006840,9995
EQUIFAX INC,33185,7320
EQUIFIRST MORTGAGE LOAN TRUST 2004-2,1296036,6189
"EQUIFIRST MORTGAGE LOAN TRUST 2004-3 ASSET-BACKED CERTIFICATES, SERIES 2004-3",1310128,6189
EQUINIX INC,1101239,4813
EQUISTAR CHEMICALS LP,1081158,2870
EQUITABLE RESOURCES INC /PA/,33213,4923
EQUITY INNS INC,916530,6798
EQUITY LIFESTYLE PROPERTIES INC,895417,6798
EQUITY OFFICE PROPERTIES TRUST,1038339,6798
EQUITY ONE MORTGAGE PASS-THROUGH TRUST 2004-1,1277609,6189
"EQUITY ONE, INC.",1042810,6798
EQUITY RESIDENTIAL,906107,6798
"EQUITY VENTURES GROUP, INC.",1298327,9995
EQUUS GAMING CO LP,928423,7990
ERESEARCHTECHNOLOGY INC /DE/,1026650,8734
"ERF Wireless, Inc.",1020646,3669
ERGO SCIENCE CORP /DE/,1158846,2721
ERHC Energy Inc,799235,1389
ERICO INTERNATIONAL CORP,1285222,3420
ERICSSON LM TELEPHONE CO,717826,3663
ERIE INDEMNITY CO,922621,6411
EROOMSYSTEM TECHNOLOGIES INC,1110361,3570
ERP OPERATING LTD PARTNERSHIP,931182,6798
ESB FINANCIAL CORP,872835,6035
ESCALA GROUP INC,895516,7389
ESCALADE INC,33488,3949
ESCHELON TELECOM INC,1110507,4813
ESCO TECHNOLOGIES INC,866706,3812
eSecureSoft CO,1321511,9995
ESESIS INC,1182151,4955
ESI TRACTEBEL ACQUISITION CORP,1059027,4911
ESIM LTD,1050514,7372
E-SMART TECHNOLOGIES INC,1112999,3577
ESPEED INC,1094831,7389
ESPERANZA SILVER CORP,1261252,1400
ESPEY MFG & ELECTRONICS CORP,33533,3679
ESS TECHNOLOGY INC,907410,3674
ESSENTIAL GROUP INC,1088000,8011
ESSENTIAL INNOVATIONS TECHNOLOGY CORP,1250897,4961
ESSEX CORP,355199,8711
ESSEX PORTFOLIO LP,1053059,6798
ESSEX PROPERTY TRUST INC,920522,6798
ESTEE LAUDER COMPANIES INC,1001250,2844
ESTERLINE TECHNOLOGIES CORP,33619,3823
Eternal Energy Corp.,1282613,1000
ETERNAL TECHNOLOGIES GROUP INC,1096662,200
ETHAN ALLEN INTERIORS INC,896156,2511
ETOTALSOURCE INC,822998,7372
ETRIALS WORLDWIDE INC.,1268904,7372
ETS PAYPHONES INC,1287065,3661
EUGENE SCIENCE,1107685,7990
EUPA INTERNATIONAL CORP /NV/,1084382,7389
EURASIA ENERGY LTD,1278465,1311
EURASIA GOLD FIELDS INC,1058262,1400
EURO DISNEY S C A,924284,7997
EURO TECH HOLDINGS CO LTD,1026662,5040
EUROBANCSHARES INC,1164554,6029
EUROGAS INC,783209,1311
EURONET WORLDWIDE INC,1029199,6099
EUROTRUST A/S,1041457,4813
EUROWEB INTERNATIONAL CORP,905428,7373
EUROZINC MINING CORP,1092840,1000
EVANS & SUTHERLAND COMPUTER CORP,276283,3690
EVANS BANCORP INC,842518,6021
EVANS BOB FARMS INC,33769,5812
EVANS SYSTEMS INC,904901,5171
EVCI Career Colleges Holding Corp,1065591,8200
EVEREST FUND L P,837919,6221
EVEREST RE GROUP LTD,1095073,6331
EVEREST REINSURANCE HOLDINGS INC,914748,6331
EVERFLOW EASTERN PARTNERS LP,868082,1311
"ever-glory international group, inc.",943184,8700
EVERGREEN HOLDINGS INC,1263810,4522
EVERGREEN SOLAR INC,947397,3674
EVERGREENBANCORP INC,1143566,6035
EVERLAST WORLDWIDE INC,934795,2330
EVERYDAY ASSEMBLY PRODUCTIONS INC,1105299,9995
EVOLUTION PETROLEUM CORP,1006655,1311
EVOLVE ONE INC,1088787,9995
Evolving Gold CORP,1303202,1040
EVOLVING SYSTEMS INC,1052054,7371
EXABYTE CORP /DE/,855109,3572
EXACT SCIENCES CORP,1124140,8731
EXACTECH INC,913165,3842
EXAR CORP,753568,3674
EXCALIBUR INDUSTRIES,201779,1090
EXCEL MARITIME CARRIERS LTD,842294,4412
EXCEL PROPERTIES LTD,785932,6500
EXCEL TECHNOLOGY INC,873603,3690
EXCELLIGENCE LEARNING CORP,1130950,5961
EXCHANGE NATIONAL BANCSHARES INC,893847,6021
EXCO RESOURCES INC,316300,1311
EXEGENICS INC,944809,2834
EXELIXIS INC,939767,8731
EXELON CORP,1109357,4931
EXELON GENERATION CO LLC,1168165,4911
EXFO ELECTRO OPTICAL ENGINEERING INC,1116284,3825
EXIDE TECHNOLOGIES,813781,3690
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,746515,4731
EXPLORATION CO OF DELAWARE INC,313395,1311
EXPONENT INC,851520,8742
EXPRESS SCRIPTS INC,885721,5912
EXPRESS SYSTEMS CORP,1074447,7389
EXPRESS-1 EXPEDITED SOLUTIONS INC,1166003,4700
EXPRESSJET HOLDINGS INC,1144331,4512
EXTENDICARE HEALTH SERVICES INC,1052024,8051
EXTENDICARE INC /CAN/,1012881,8051
Extra Space Storage Inc.,1289490,6798
EXTREME NETWORKS INC,1078271,3576
EXX INC/NV/,89261,3944
EXXON MOBIL CORP,34088,2911
EYE CATCHING MARKETING CORP,1088210,6770
EYI INDUSTRIES INC.,1104120,2833
EZ EM INC,727008,2835
EZCORP INC,876523,5900
EZENIA INC,943894,3576
F&M BANK CORP,740806,6022
F5 NETWORKS INC,1048695,3576
FAB INDUSTRIES TRUST,34136,2250
FACEPRINT GLOBAL SOLUTIONS INC,1263764,7371
FACT CORP,707674,2000
FACTORY CARD & PARTY OUTLET CORP,1024441,5940
FACTSET RESEARCH SYSTEMS INC,1013237,7370
FAIR ISAAC CORP,814547,7389
FAIRCHILD CORP,9779,5600
FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,1036960,3674
FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,915191,6331
FAIRPOINT COMMUNICATIONS INC,1062613,4813
FALCON NATURAL GAS CORP,1167764,1311
Falcon Ridge Development Inc.,1065659,6552
FALCONBRIDGE LTD,889211,3330
FALCONSTOR SOFTWARE INC,922521,7372
FalconTarget Inc.,1295130,6770
FAMILY DOLLAR STORES INC,34408,5331
FAMILY HEALTHCARE SOLUTIONS INC,1063262,6770
"FAMILY HOME HEALTH SERVICES, INC.",1142336,8082
FAMILY ROOM ENTERTAINMENT CORP,49444,7812
"FAMILYMEDS GROUP, INC.",921878,5122
FAMOUS DAVES OF AMERICA INC,1021270,5812
FANSTEEL INC,34471,3490
FANTASTIC FINANCIAL CORP,1101910,6770
FANTATECH INC,925663,7830
FAR EAST ENERGY CORP,1124024,1311
FARGO ELECTRONICS INC,1098834,7371
FARMER BROTHERS CO,34563,2090
FARMERS & MERCHANTS BANCORP,1085913,6021
FARMERS & MERCHANTS BANCORP INC,792966,6035
FARMERS CAPITAL BANK CORP,713095,6021
FARMERS NATIONAL BANC CORP /OH/,709337,6022
FARNSWORTH BANCORP INC,1063568,6035
FARO TECHNOLOGIES INC,917491,3829
FASHION HOUSE HOLDINGS INC,797329,5600
FASHION TECH INTERNATIONAL INC,753224,6770
FASTENAL CO,815556,5200
FASTFUNDS FINANCIAL CORP,779956,6770
FAUQUIER BANKSHARES INC,1083643,6022
FAVRILLE INC,1285701,2836
FBL FINANCIAL GROUP INC,1012771,6311
"FBO AIR, INC.",1128281,4581
FCCC INC,730669,6770
FEATHERLITE INC,928064,3715
FEC Resources Inc.,849997,1311
FEDDERS CORP /DE,744106,3585
FEDERAL AGRICULTURAL MORTGAGE CORP,845877,6111
FEDERAL EXPRESS CORP,230211,4513
FEDERAL MOGUL CORP,34879,3714
FEDERAL MORTGAGE CORP OF PUERTO RICO,34884,6159
FEDERAL REALTY INVESTMENT TRUST,34903,6798
FEDERAL SIGNAL CORP /DE/,277509,3711
FEDERAL TRUST CORP,842640,6035
FEDERATED DEPARTMENT STORES INC /DE/,794367,5311
FEDERATED INVESTORS INC /PA/,1056288,6282
FEDEX CORP,1048911,4513
FedFirst Financial CORP,1308017,6035
FEI CO,914329,3826
FelCor Lodging LP,1048789,6798
FELCOR LODGING TRUST INC,923603,6798
"Feldman Mall Properties, Inc.",1299901,6798
FELLOWS ENERGY LTD,1144439,1382
FEMALE HEALTH CO,863894,3060
FENTON GRAHAM MARKETING INC,1163812,7380
FENTURA FINANCIAL INC,919865,6022
"FERMAVIR PHARMACEUTICALS, INC.",1283383,2834
FERRELLGAS FINANCE CORP,922360,5900
FERRELLGAS L P,922359,5900
FERRELLGAS PARTNERS FINANCE CORP,1012493,0
FERRELLGAS PARTNERS L P,922358,5900
FFD FINANCIAL CORP/OH,1006177,6035
FIAT S P A,842317,3711
FIBERNET TELECOM GROUP INC\,1001868,4813
FIBERSTARS INC /CA/,924168,3640
FIDELIS ENERGY INC,1157723,7389
FIDELITY BANCORP INC,769207,6022
FIDELITY BANKSHARES INC,1028336,6035
FIDELITY D & D BANCORP INC,1098151,6021
FIDELITY FEDERAL BANCORP,910492,6035
FIDELITY NATIONAL FINANCIAL INC /DE/,809398,6361
"Fidelity National Information Services, Inc.",1136893,7389
FIDELITY SOUTHERN CORP,822662,6022
FIELDPOINT PETROLEUM CORP,316736,1311
FIELDSTONE INVESTMENT CORP,1271831,6798
"Fieldstone Mortgage Investment Trust, Series 2004-3",1295812,6189
"Fieldstone Mortgage Investment Trust, Series 2004-4",1304851,6189
"Fieldstone Mortgage Investment Trust, Series 2004-5",1309531,6189
FIFTH THIRD AUTO TRUST 2004-A,1292655,6189
FIFTH THIRD BANCORP,35527,6022
FII INTERNATIONAL INC,1179651,7389
FIIC HOLDINGS,1077720,7389
FILENET CORP,706015,7373
FILTERING ASSOCIATES INC,1163882,5734
FINANCE AMERICA MORTGAGE LOAN TRUST 2004-1,1292531,6189
FINANCE AMERICA MORTGAGE LOAN TRUST 2004-2,1299970,6189
FINANCIAL ASSET SEC CORP  FIRST FRANK MORT LOAN TR 2004-FFH1,1285091,6189
FINANCIAL ASSET SEC CORP ASSET-BACKED CERTS SERIES 2004-1,1283842,6189
FINANCIAL ASSET SEC CORP MERITAGE MORTGAGE LOAN TRUST 2004 1,1285299,6189
FINANCIAL ASSET SECURITIES CORP FIRST FRANKLIN MORTGAGE LOAN TRUST 2004-FFH3,1303018,6189
FINANCIAL FEDERAL CORP,854711,6159
FINANCIAL INDUSTRIES CORP,35733,6311
FINANCIAL INSTITUTIONS INC,862831,6021
FINANCIAL SECURITY ASSURANCE HOLDINGS LTD,913357,6399
FINDEX COM INC,1089061,7372
"FINELINE PROPERTIES.COM, INC",1037321,7330
FINISAR CORP,1094739,3674
FINISH LINE INC /IN/,886137,5661
FINLAY ENTERPRISES INC /DE,878731,5944
FINLAY FINE JEWELRY CORP,898684,5944
FINOTEC GROUP INC,831378,6799
FINOVA GROUP INC,883701,6153
FIREARMS TRAINING SYSTEMS INC,1021770,8742
FIRST ACCEPTANCE CORP /DE/,1017907,6331
FIRST ADVANTAGE CORP,1210677,7389
FIRST ALBANY COMPANIES INC,782842,6211
FIRST AMERICAN CAPITAL CORP /KS,1082084,6311
FIRST AMERICAN CORP,36047,6361
FIRST AMERICAN SCIENTIFIC CORP \NV\,1002822,3060
FIRST AVENUE NETWORKS INC,1010286,4812
FIRST AVIATION SERVICES INC,1025743,3724
FIRST BANCORP /NC/,811589,6022
FIRST BANCORP /PR/,1057706,6022
FIRST BANCORP OF INDIANA INC,1074543,6035
FIRST BANCSHARES INC /MS/,947559,6021
FIRST BANCTRUST CORP,1129847,6036
"FIRST BANKS, INC",710507,6021
FIRST BUSEY CORP /NV/,314489,6022
FIRST CAPITAL INC,1070296,6035
FIRST CAPITAL INSTITUTIONAL REAL ESTATE LTD 1,730212,6500
FIRST CAPITAL INSTITUTIONAL REAL ESTATE LTD 2,727087,6500
FIRST CAPITAL INTERNATIONAL INC,1072842,3571
FIRST CASH FINANCIAL SERVICES INC,840489,5900
FIRST CENTURY BANKSHARES INC,723594,6022
FIRST CHARTER CORP /NC/,717306,6021
FIRST CHESTER COUNTY CORP,744126,6021
FIRST CITIZENS BANC CORP /OH,944745,6022
FIRST CITIZENS BANCSHARES INC /DE/,798941,6022
FIRST CITIZENS BANCSHARES INC /TN/,719264,6022
First Clover Leaf Financial Corp.,1283582,6035
FIRST COMMONWEALTH FINANCIAL CORP /PA/,712537,6021
FIRST COMMUNITY BANCORP /CA/,1102112,6021
FIRST COMMUNITY BANCSHARES INC /NV/,859070,6022
FIRST COMMUNITY BANK CORP OF AMERICA,1082564,6770
FIRST COMMUNITY CORP /SC/,932781,6021
FIRST COMMUNITY CORP /TN/,924960,6022
FIRST COMMUNITY FINANCIAL CORP,763293,6021
FIRST CONSULTING GROUP INC,1049758,8742
FIRST DATA CORP,883980,6199
FIRST DEFIANCE FINANCIAL CORP,946647,6035
FIRST EQUITY PROPERTIES INC,726516,6798
FIRST FARMERS & MERCHANTS CORP,703329,6022
FIRST FEDERAL BANCSHARES INC /DE,1113107,6035
FIRST FEDERAL BANCSHARES OF ARKANSAS INC,1006424,6035
FIRST FEDERAL BANKSHARES INC,1075348,6035
